gens,best_fitness,avg_fitness,best_gene
299,0.0002957704821058858,0.0002842443199957731,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
300,0.0002957704821058858,0.0002846664085286205,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
301,0.0002957704821058858,0.00028486992204640964,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
302,0.0002957704821058858,0.000285292010579257,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
303,0.0002957704821058858,0.00028576820346858713,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
304,0.0002957704821058858,0.00028609720587764276,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
305,0.0002957704821058858,0.0002864953741404501,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
306,0.0002957704821058858,0.0002868935424032575,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
307,0.0002957704821058858,0.00028725712773918904,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
308,0.0002957704821058858,0.0002876353115099622,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
309,0.0002957704821058858,0.0002876353115099622,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
310,0.0002957704821058858,0.0002880334797727695,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
311,0.0002957704821058858,0.0002882325639041732,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
312,0.0002957704821058858,0.0002884316480355769,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
313,0.0002957704821058858,0.0002887952333715084,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
314,0.0002957704821058858,0.00028919340163431585,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
315,0.0002957704821058858,0.0002895915698971232,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
316,0.0002957704821058858,0.0002899897381599306,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
317,0.0002957704821058858,0.0002903879064227379,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
318,0.0002957704821058858,0.00029078607468554525,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
319,0.0002957704821058858,0.00029078607468554525,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
320,0.0002957704821058858,0.0002911842429483526,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
